id,created_at,position_id,position_name,name,hard_skills,soft_skills
1,,70000501,מפתח Full Stack,Python + Angular Developer,"[""Python"", ""Django/FastAPI (Basics)"", ""Angular"", ""TypeScript"", ""REST APIs"", ""SQL""]","[""Teamwork"", ""Problem Solving"", ""Self Learning"", ""Code Ownership""]"
2,,70000501,מפתח Full Stack,.NET Core + React Developer,"["".NET Core"", ""C#"", ""React"", ""TypeScript"", ""REST APIs"", ""Microservices""]","[""Collaboration"", ""System Thinking"", ""Code Quality Focus""]"
3,,70000501,מפתח Full Stack,Java + VanillaJS Developer,"[""Java"", ""Spring (Basics)"", ""JavaScript"", ""HTML/CSS"", ""OOP"", ""Git""]","[""Persistence"", ""Attention to Detail"", ""Learning Agility""]"
4,,70000502,Data Analyst,BI Analyst (Power BI + SQL),"[""Power BI"", ""DAX"", ""SQL"", ""Data Modeling"", ""Excel Advanced""]","[""Analytical Thinking"", ""Storytelling with Data"", ""Business Orientation""]"
5,,70000502,Data Analyst,Research Analyst (Python + ML Basics),"[""Python"", ""Django/FastAPI (Basics)"", ""Angular"", ""TypeScript"", ""REST APIs"", ""SQL"", ""Pandas"", ""NumPy"", ""Basic ML (scikit-learn)"", ""Jupyter""]","[""Teamwork"", ""Problem Solving"", ""Self Learning"", ""Code Ownership"", ""Curiosity"", ""Critical Thinking"", ""Hypothesis-Driven Work""]"
6,,70000502,Data Analyst,Operations Analyst (KPI dashboards),"[""Excel Advanced"", ""SQL"", ""Dashboarding"", ""KPI Definition""]","[""Process Thinking"", ""Stakeholder Communication"", ""Prioritization""]"
7,,70000503,PMO טכנולוגי,R&D PMO – timelines & bottlenecks,"[""Project Management"", ""Jira"", ""Roadmapping"", ""Risk Management""]","[""Organization"", ""Communication"", ""Cross-Functional Collaboration""]"
8,,70000503,PMO טכנולוגי,"Agile PMO – Jira, Scrum","[""Scrum"", ""Kanban"", ""Jira Administration"", ""Sprint Planning""]","[""Facilitation"", ""Conflict Management"", ""Continuous Improvement Mindset""]"
9,,70000503,PMO טכנולוגי,Product PMO – version control,"[""Release Management"", ""Version Control Concepts"", ""Backlog Management""]","[""Detail Orientation"", ""Alignment Building"", ""Stakeholder Management""]"
10,,70000504,רכזת גיוס טכנולוגי,"R&D Recruiter – Full Stack, Backend","[""Tech Sourcing"", ""LinkedIn Recruiter"", ""CV Screening"", ""Interview Coordination""]","[""Networking"", ""Empathy"", ""Influencing""]"
11,,70000504,רכזת גיוס טכנולוגי,"Cyber Recruiter – SOC, DFIR","[""Cyber Roles Landscape"", ""Sourcing Security Talent"", ""Screening for SOC/DFIR""]","[""Trust Building"", ""Curiosity"", ""Resilience""]"
12,,70000504,רכזת גיוס טכנולוגי,Data Recruiting Specialist,"[""Data Roles Landscape"", ""Basic SQL/Python Understanding"", ""Sourcing Data Talent""]","[""Analytical Thinking"", ""Stakeholder Management"", ""Listening""]"
13,,70000505,כלכלן תקציב ובקרה,FP&A Economist – forecasts & models,"[""Financial Modeling"", ""Excel Advanced"", ""Forecasting"", ""Budgeting""]","[""Analytical Thinking"", ""Business Partnering"", ""Scenario Thinking""]"
14,,70000505,כלכלן תקציב ובקרה,Budget Control Analyst – monthly tracking,"[""Budget Tracking"", ""Variance Analysis"", ""ERP Reporting""]","[""Accuracy"", ""Discipline"", ""Risk Awareness""]"
15,,70000505,כלכלן תקציב ובקרה,Cost Accountant – product pricing,"[""Costing Methods"", ""Product Costing"", ""Margin Analysis""]","[""Detail Orientation"", ""Problem Solving"", ""Ownership""]"
16,,70000506,מנהל שיווק דיגיטלי,Performance PPC Manager,"[""Google Ads"", ""Meta Ads"", ""Campaign Optimization"", ""Analytics""]","[""Data-Driven Thinking"", ""Creativity"", ""Experimentation""]"
17,,70000506,מנהל שיווק דיגיטלי,Growth Marketer – CRO & Funnels,"[""A/B Testing"", ""Funnel Analysis"", ""Product Analytics""]","[""Hypothesis-Driven Thinking"", ""Curiosity"", ""Collaboration""]"
18,,70000506,מנהל שיווק דיגיטלי,Social Media & Community Lead,"[""Content Strategy"", ""Social Platforms Management"", ""Copywriting Basics""]","[""Creativity"", ""Empathy"", ""Brand Voice Consistency""]"
19,,70000507,איש System / IT,Windows/AD/Exchange Specialist,"[""Windows Server"", ""Active Directory"", ""Exchange Online"", ""Group Policy""]","[""Service Orientation"", ""Patience"", ""Prioritization""]"
20,,70000507,איש System / IT,Linux + Networking Engineer,"[""Linux Administration"", ""Bash"", ""TCP/IP"", ""Routing/Switching Basics""]","[""Troubleshooting"", ""Persistence"", ""Self Learning""]"
21,,70000507,איש System / IT,Tier2/3 IT Support Specialist,"[""Ticketing Systems"", ""Remote Support"", ""Root Cause Analysis""]","[""Customer Focus"", ""Calm Under Pressure"", ""Communication""]"
22,,70000508,מיישם סייבר,Network Security Implementer,"[""Firewalls"", ""IDS/IPS"", ""Network Segmentation""]","[""Risk Awareness"", ""Detail Orientation"", ""Structured Thinking""]"
23,,70000508,מיישם סייבר,Cloud Security Implementer (AWS/GCP),"[""AWS Security"", ""GCP IAM"", ""Cloud Network Security""]","[""Learning Agility"", ""Ownership"", ""Collaboration""]"
24,,70000508,מיישם סייבר,SIEM/SOAR Implementer (Splunk/Sentinel),"[""SIEM Tuning"", ""SOAR Playbooks"", ""Log Analysis""]","[""Pattern Recognition"", ""Problem Solving"", ""Teamwork""]"
