profile_id,position_id,position_name,profile_name,hard_skills,soft_skills,description
1,70000501,מפתח Full Stack,Python + Angular Developer,"[{""skill"": ""Python"", ""level"": 5}, {""skill"": ""Java"", ""level"": 1}, {""skill"": ""API Design & Integration"", ""level"": 4}, {""skill"": ""SQL"", ""level"": 3}, {""skill"": ""Full Stack Development"", ""level"": 4}]","[{""skill"": ""צוות"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""למידה עצמית"", ""level"": 1}, {""skill"": ""הובלה לתוצאות"", ""level"": 1}]","פרופיל 'Python + Angular Developer' כולל התמחות במיומנויות כגון Python, Java, API Design & Integration, לצד מיומנויות רכות כמו צוות, למידה וחשיבה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
2,70000501,מפתח Full Stack,.NET Core + React Developer,"[{""skill"": ""Python"", ""level"": 1}, {""skill"": ""Java"", ""level"": 1}, {""skill"": ""API Design & Integration"", ""level"": 1}, {""skill"": ""SQL"", ""level"": 3}, {""skill"": ""Full Stack Development"", ""level"": 4}, {""skill"": ""Software Architecture Fundamentals"", ""level"": 1}]","[{""skill"": ""צוות"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""למידה עצמית"", ""level"": 1}, {""skill"": ""הובלה לתוצאות"", ""level"": 1}, {""skill"": ""תכנון וראיה אינטגרטיבית"", ""level"": 1}]","פרופיל '.NET Core + React Developer' כולל התמחות במיומנויות כגון Python, Java, API Design & Integration, לצד מיומנויות רכות כמו צוות, למידה וחשיבה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
3,70000501,מפתח Full Stack,Java + VanillaJS Developer,"[{""skill"": ""Python"", ""level"": 1}, {""skill"": ""Java"", ""level"": 5}, {""skill"": ""API Design & Integration"", ""level"": 1}, {""skill"": ""SQL"", ""level"": 3}, {""skill"": ""Full Stack Development"", ""level"": 4}]","[{""skill"": ""צוות"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""למידה עצמית"", ""level"": 1}, {""skill"": ""הובלה לתוצאות"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}]","פרופיל 'Java + VanillaJS Developer' כולל התמחות במיומנויות כגון Python, Java, API Design & Integration, לצד מיומנויות רכות כמו צוות, למידה וחשיבה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
4,70000502,Data Analyst,BI Analyst (Power BI + SQL),"[{""skill"": ""SQL"", ""level"": 5}, {""skill"": ""Data Analysis"", ""level"": 5}, {""skill"": ""Excel"", ""level"": 4}, {""skill"": ""Python"", ""level"": 1}, {""skill"": ""Python for Data"", ""level"": 4}, {""skill"": ""Excel Advanced"", ""level"": 4}]","[{""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""תכנון וראיה אינטגרטיבית"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}]","פרופיל 'BI Analyst (Power BI + SQL)' כולל התמחות במיומנויות כגון SQL, Data Analysis, Excel, לצד מיומנויות רכות כמו אנליטיקה, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
5,70000502,Data Analyst,Research Analyst (Python + ML Basics),"[{""skill"": ""SQL"", ""level"": 1}, {""skill"": ""Data Analysis"", ""level"": 4}, {""skill"": ""Excel"", ""level"": 4}, {""skill"": ""Python"", ""level"": 5}, {""skill"": ""Python for Data"", ""level"": 5}, {""skill"": ""API Design & Integration"", ""level"": 4}, {""skill"": ""Machine Learning Basics"", ""level"": 1}]","[{""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""תכנון וראיה אינטגרטיבית"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""למידה עצמית"", ""level"": 1}, {""skill"": ""הובלה לתוצאות"", ""level"": 1}]","פרופיל 'Research Analyst (Python + ML Basics)' כולל התמחות במיומנויות כגון SQL, Data Analysis, Excel, לצד מיומנויות רכות כמו אנליטיקה, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
6,70000502,Data Analyst,Operations Analyst (KPI dashboards),"[{""skill"": ""SQL"", ""level"": 1}, {""skill"": ""Data Analysis"", ""level"": 4}, {""skill"": ""Excel"", ""level"": 4}, {""skill"": ""Python"", ""level"": 1}, {""skill"": ""Python for Data"", ""level"": 4}, {""skill"": ""Excel Advanced"", ""level"": 4}, {""skill"": ""KPI Analysis"", ""level"": 1}]","[{""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""תכנון וראיה אינטגרטיבית"", ""level"": 1}]","פרופיל 'Operations Analyst (KPI dashboards)' כולל התמחות במיומנויות כגון SQL, Data Analysis, Excel, לצד מיומנויות רכות כמו אנליטיקה, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
7,70000503,PMO טכנולוגי,R&D PMO – timelines & bottlenecks,"[{""skill"": ""Project Management"", ""level"": 1}, {""skill"": ""PMO Tools"", ""level"": 4}, {""skill"": ""Agile Foundations"", ""level"": 4}, {""skill"": ""Risk Management"", ""level"": 1}, {""skill"": ""Agile Practitioner"", ""level"": 4}]","[{""skill"": ""תקשורת"", ""level"": 1}]","פרופיל 'R&D PMO – timelines & bottlenecks' כולל התמחות במיומנויות כגון Project Management, PMO Tools, Agile Foundations, לצד מיומנויות רכות כמו תקשורת. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
8,70000503,PMO טכנולוגי,"Agile PMO – Jira, Scrum","[{""skill"": ""Project Management"", ""level"": 1}, {""skill"": ""PMO Tools"", ""level"": 4}, {""skill"": ""Agile Foundations"", ""level"": 4}, {""skill"": ""Risk Management"", ""level"": 1}, {""skill"": ""Scrum Basics"", ""level"": 1}, {""skill"": ""Agile Practitioner"", ""level"": 4}]","[{""skill"": ""תקשורת"", ""level"": 1}]","פרופיל 'Agile PMO – Jira, Scrum' כולל התמחות במיומנויות כגון Project Management, PMO Tools, Agile Foundations, לצד מיומנויות רכות כמו תקשורת. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
9,70000503,PMO טכנולוגי,Product PMO – version control,"[{""skill"": ""Project Management"", ""level"": 1}, {""skill"": ""PMO Tools"", ""level"": 4}, {""skill"": ""Agile Foundations"", ""level"": 4}, {""skill"": ""Risk Management"", ""level"": 1}]","[{""skill"": ""תקשורת"", ""level"": 1}]","פרופיל 'Product PMO – version control' כולל התמחות במיומנויות כגון Project Management, PMO Tools, Agile Foundations, לצד מיומנויות רכות כמו תקשורת. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
10,70000504,רכזת גיוס טכנולוגי,"R&D Recruiter – Full Stack, Backend","[{""skill"": ""Talent Acquisition"", ""level"": 1}, {""skill"": ""Interview Management"", ""level"": 3}, {""skill"": ""Job Profiling"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}, {""skill"": ""ניהול ממשקים"", ""level"": 1}]","פרופיל 'R&D Recruiter – Full Stack, Backend' כולל התמחות במיומנויות כגון Talent Acquisition, Interview Management, Job Profiling, לצד מיומנויות רכות כמו תפקוד בין אישי, תקשורת. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
