id,created_at,position_id,position_name,name,hard_skills,soft_skills
1,,70000501,מפתח Full Stack,Python + Angular Developer,"[""Python"", ""Java"", ""API Design & Integration"", ""SQL"", ""Full Stack Development""]","[""צוות"", ""למידה וחשיבה"", ""למידה עצמית"", ""הובלה לתוצאות""]"
2,,70000501,מפתח Full Stack,.NET Core + React Developer,"[""Python"", ""Java"", ""API Design & Integration"", ""SQL"", ""Full Stack Development"", ""Software Architecture Fundamentals""]","[""צוות"", ""למידה וחשיבה"", ""למידה עצמית"", ""הובלה לתוצאות"", ""תכנון וראיה אינטגרטיבית""]"
3,,70000501,מפתח Full Stack,Java + VanillaJS Developer,"[""Python"", ""Java"", ""API Design & Integration"", ""SQL"", ""Full Stack Development""]","[""צוות"", ""למידה וחשיבה"", ""למידה עצמית"", ""הובלה לתוצאות"", ""מקצועיות""]"
4,,70000502,Data Analyst,BI Analyst (Power BI + SQL),"[""SQL"", ""Data Analysis"", ""Excel"", ""Python"", ""Python for Data"", ""Excel Advanced""]","[""אנליטיקה"", ""מקצועיות"", ""תכנון וראיה אינטגרטיבית"", ""תקשורת""]"
5,,70000502,Data Analyst,Research Analyst (Python + ML Basics),"[""SQL"", ""Data Analysis"", ""Excel"", ""Python"", ""Python for Data"", ""API Design & Integration"", ""Machine Learning Basics""]","[""אנליטיקה"", ""מקצועיות"", ""תכנון וראיה אינטגרטיבית"", ""צוות"", ""למידה וחשיבה"", ""למידה עצמית"", ""הובלה לתוצאות""]"
6,,70000502,Data Analyst,Operations Analyst (KPI dashboards),"[""SQL"", ""Data Analysis"", ""Excel"", ""Python"", ""Python for Data"", ""Excel Advanced"", ""KPI Analysis""]","[""אנליטיקה"", ""מקצועיות"", ""תכנון וראיה אינטגרטיבית""]"
7,,70000503,PMO טכנולוגי,R&D PMO – timelines & bottlenecks,"[""Project Management"", ""PMO Tools"", ""Agile Foundations"", ""Risk Management"", ""Agile Practitioner""]","[""תקשורת""]"
8,,70000503,PMO טכנולוגי,"Agile PMO – Jira, Scrum","[""Project Management"", ""PMO Tools"", ""Agile Foundations"", ""Risk Management"", ""Scrum Basics"", ""Agile Practitioner""]","[""תקשורת""]"
9,,70000503,PMO טכנולוגי,Product PMO – version control,"[""Project Management"", ""PMO Tools"", ""Agile Foundations"", ""Risk Management""]","[""תקשורת""]"
10,,70000504,רכזת גיוס טכנולוגי,"R&D Recruiter – Full Stack, Backend","[""Talent Acquisition"", ""Interview Management"", ""Job Profiling""]","[""תפקוד בין אישי"", ""תקשורת"", ""ניהול ממשקים""]"
